time_ms,bid,ask,bid_vol,ask_vol
1774976938583,46.26085,46.26785,956016770,956016770
1774976939086,46.26125,46.26815,956016770,956016770
1774976939438,46.26145,46.26835,951893602,956016770
1774976939991,46.26115,46.26805,951893602,956016770
1774976940343,46.26055,46.26652,951893602,956016770
1774976940394,46.25725,46.26425,956016770,956016770
1774976940495,46.25755,46.26445,956016770,956016770
1774976941700,46.26015,46.26715,956016770,956016770
1774976941751,46.25995,46.26685,956016770,956016770
1774976941802,46.25995,46.26695,956016770,956016770
1774976942004,46.25945,46.26635,956016770,956016770
1774976942055,46.25905,46.26605,956016770,956016770
1774976942105,46.25885,46.26575,956016770,956016770
1774976942207,46.25835,46.26525,956016770,956016770
1774976942308,46.25925,46.26615,951893602,956016770
1774976942359,46.25835,46.26535,956016770,956016770
1774976942410,46.25805,46.26505,956016770,956016770
1774976942511,46.25785,46.26452,956016770,956016770
1774976942864,46.25805,46.26452,956016770,956016770
1774976942915,46.25255,46.25945,956016770,956016770
1774976942966,46.25315,46.26015,956016770,956016770
1774976943016,46.25235,46.25925,956016770,956016770
1774976943118,46.25295,46.25985,956016770,956016770
1774976944274,46.25315,46.26015,956016770,956016770
1774976944526,46.25235,46.25925,956016770,956016770
1774976944879,46.25255,46.25955,956016770,956016770
1774976945149,46.25305,46.26005,956016770,956016770
1774976945403,46.25275,46.25975,956016770,956016770
1774976945505,46.25465,46.26165,956016770,956016770
1774976945607,46.25505,46.26195,956016770,956016770
1774976945859,46.25445,46.26145,956016770,956016770
1774976945910,46.25425,46.26125,956016770,956016770
1774976946062,46.25455,46.26155,956016770,956016770
1774976946163,46.25665,46.26355,956016770,956016770
1774976946265,46.25645,46.26335,956016770,956016770
1774976946568,46.25605,46.26305,956016770,956016770
1774976946619,46.25565,46.26255,956016770,956016770
1774976947094,46.25535,46.26235,956016770,956016770
1774976947426,46.25555,46.26255,956016770,956016770
1774976947527,46.25525,46.26215,956016770,956016770
1774976947628,46.25365,46.26055,956016770,956016770
1774976947730,46.25265,46.25955,956016770,956016770
1774976948433,46.25335,46.26035,956016770,956016770
1774976948836,46.25455,46.26155,956016770,956016770
1774976948987,46.25385,46.26085,956016770,956016770
1774976949462,46.25425,46.26125,956016770,956016770
1774976951371,46.25475,46.26175,956016770,956016770
1774976951472,46.25515,46.26215,956016770,956016770
1774976951674,46.25455,46.26145,956016770,956016770
1774976951775,46.25495,46.26195,956016770,956016770
1774976952027,46.25545,46.26235,956016770,956016770
1774976952128,46.25485,46.26185,956016770,956016770
1774976952682,46.25535,46.26235,956016770,956016770
1774976952784,46.25505,46.26195,956016770,956016770
1774976953286,46.25495,46.26195,956016770,956016770
1774976953337,46.25475,46.26175,956016770,956016770
1774976953488,46.25565,46.26265,956016770,956016770
1774976953590,46.25505,46.26195,956016770,956016770
1774976954746,46.25465,46.26155,956016770,956016770
1774976954797,46.25505,46.26205,956016770,956016770
1774976955199,46.25485,46.26175,956016770,956016770
1774976955250,46.25505,46.26205,956016770,956016770
1774976956510,46.25485,46.26175,956016770,956016770
1774976957238,46.25505,46.26205,956016770,956016770
1774976957289,46.25535,46.26225,956016770,956016770
1774976957390,46.25555,46.26245,956016770,956016770
